REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
1,45,09807247,1027739082106,1,044525545,1/1/2016,?? ????????? ????,"119034,  ?. ??????, ????????????? ??????????, ?.9",1,23
2,40,11157058,1027800000250,2,044030869,1/1/2016,"?? ""??? ""??????""","191002 ?????-?????????, ???????????? ??. ??? 17",1,31
5,45,09808117,1027739069478,5,044583501,1/1/2016,"???? ""??????-??????"" (???)","115054,  ?. ??????, 6-? ?????????????? ???., ?. 8, ???. 1",1,31
21,05,09241840,1022500001325,21,040507717,1/1/2016,"??? ""??????????????""","690091, ?????????? ????, ?. ???????????, ??. ???????? ??????, 25",1,27
52,40,05437279,1027800001261,52,044030754,1/1/2016,"??? ""?????????????""","195027, ?????????? ?????????,  ?. ?????-?????????, ???????????? ??., ??? 2, ????. 2, ???.?",1,31
53,40,05435949,1027800000194,53,044030755,1/1/2016,"??? ???? ""???????????????""","191119, ?????-?????????, ?????????? ??., 46, ????? ?, ?????? 2",1,31
55,45,09806271,1027739270294,55,044583303,1/1/2016,"??? ??? ""????????""","109044,  ?. ??????, ??. ????????? ???, ?. 26, ???????? 2",1,23
65,65,09806207,1026600001955,65,046577768,1/1/2016,"??? ?? ""?????? ?????""","620075, ???????????? ???????, ?.????????????, ??. ????????, ?.7",1,31
67,92,09265941,1021600000289,67,049205770,1/1/2016,"??? ""??????????"" (???)","420111, ?????????? ?????????,  ?.??????, ??.???????, ?.13/52",1,23
77,45,05838400,1027700568224,77,044583125,1/1/2016,??????? ???? (???),"117105, ?. ??????, ?????????? ?????, ??? 1, ???????? 1-2",1,23
85,05,09241863,1022500001930,85,040507840,1/1/2016,"??? ?? ""?????? ????""","690106, ?????????? ????, ?.???????????, ??. ???????? ???????,3",1,23
96,32,09806360,1024200001891,96,043207720,1/1/2016,"?? ""????????????""","650000, ??????????? ???????, ?.????????, ??????????? ?????, ??.????????????, ??? ? 12",1,23
101,50,16578422,1055400000369,101,045004761,1/1/2016,"?? ""??? ????""","630099, ?. ???????????, ??. ?????????, ?.37",1,31
103,45,29313458,1027739480548,103,044525824,1/1/2016,"??? ""???""","115054,  ?. ??????, ??. ?????????, ??? 23, ???????? 2",1,23
106,60,09806526,1026100002026,106,046015860,1/1/2016,"??? ?? ""???????????""","344029, ?. ??????-??-????, ??. ???????, 102",1,27
121,45,09806868,1027739198387,121,044525514,1/1/2016,"?? ??? ""????????????""","119017,  ?. ??????, ??.?????????, ?.31/2, ???. 1",1,31
138,41,09806957,1027800004517,138,044106725,1/1/2016,"?? ""?????????""","188640, ????????????? ???????, ????? ??????????, ???????????? ????????, ??? 29",1,31
149,45,09808560,1024900000180,149-?,042908805,1/1/2016,"??? ""????????? ??????"" (???)","109147, ?.??????, ??. ????????????, ?. 20, ???. 8",1,31
153,65,09808005,1026600000602,153,046577421,1/1/2016,"?? ""??????????????""","620219, ????? ????????????, ??. ????????????, ?. 26",1,23
170,45,09808583,1025500003737,170,044583105,1/1/2016,"?? ""?? ????""","109028, ?.??????, ??????????????? ???., ?. 29",1,23
197,40,09806578,1027800001547,197,044030760,1/1/2016,"??? ""????""","194044, ?????-?????????, ????????? ???., 5",1,23
208,52,09227917,1025500000459,208,045209713,1/1/2016,"???? ""?????"" (??)","644007, ?.????, ??. ??????????, 132/134",1,23
210,45,09806561,1027739290270,210,044599457,1/1/2016,"?? ""????????-??????"" (??)","105037,  ?. ??????, ??.3-? ??????????, ?.3",1,31
212,61,09807224,1026200000111,212,046126708,1/1/2016,????-???????????? (???),"390023, ?. ??????, ??. ???????,?.82/26",1,31
