"АКБ ""Абсолют Банк"" (ОАО)";2306
"НКО ""Русское финансовое общество"" (ООО)";3427
"ОАО АРКБ ""Росбизнесбанк""";1405
"АО ""Вологдабанк""";992
"ОАО ""УБРиР""";429
"ООО ""НОВОКИБ""";1747
"ООО КБ ""Холдинвестбанк""";2837
"ЗАО ""ПЕРВОУРАЛЬСКБАНК""";965
"""МТИ-Банк"" (ЗАО)";1052
ООО Тревел Банк;531
"ПАО БАНК ""МОСКВА-СИТИ""";3247
"РНКО ""ИРЦ"" АО";3447
ОКЕАН БАНК (ЗАО);1697
"""Феникс Капитал Банк"" (ООО)";3506
"ОАО ""Консервативный КБ""";1087
Азия-Инвест Банк (ЗАО);3303
"ОАО ""И.Д.Е.А. Банк""";430
"ЗАО Банк ""Советский""";558
"ОАО ""МСП Банк""";3340
"АО ""СМБ-Банк""";3504
"ОАО ""АК Банк""";3006
"""Русьуниверсалбанк"" (ООО)";3293
"ПАО ""Межтопэнергобанк""";2956
"Банк ""Уссури"" (АО)";596
"ПАО ""МЕТКОМБАНК""";2443
"ООО ""Трастовый Республиканский Банк""";3404
"АКБ ""Бенифит-банк"" (ЗАО)";3229
ООО РИТ-банк;2677
"КБ ""НОВОЕ ВРЕМЯ"" (ООО)";3492
"АКБ ""ЭНО"" (ПАО)";1988
"ЗАО КБ ""Квота-банк""";2055
"ЗАО ""КБ ОТКРЫТИЕ""";2179
БАНК РСБ 24 (АО);1073
"НКО ""БРИНКС"" (ООО)";3486
"ОАО ""Евразийский банк""";969
"АО ""ГУТА-БАНК""";256
"ЗАСКБ ""НАДЕЖНОСТЬ"" ОАО";2425
"АО КБ ""МБР-банк""";2620
"ОАО АКБ ""РОСБАНК""";2272
"ПАО КБ ""Верхневолжский""";1084
"КБ ""РЭБ"" (ЗАО)";2211
"АКБ ""АКТИВ БАНК"" (ПАО)";2529
"АКБ ""Проинвестбанк"" (ПАО)";784
"ЗАО ""ФИА-БАНК""";2542
